Pt = 1.25,,Pt = 1.5,,Pt = 2,,Pt = 2.5,,,Pt = 1.25,,Pt = 1.5,,Pt = 2,,Pt = 2.5,,
X,Y,X,Y,X,Y,X,Y,,Re,f,Re,f,Re,f,Re,f,
1.044129,1.347103,1.044129,0.9301868,2.112269,-0.03529027,2.139834,-0.1382517,,11.06952537,22.23837247,11.06952537,8.515042109,129.4997709,0.921955013,137.9856742,0.727358134,
1.119933,1.270628,1.116487,0.8582207,2.188072,-0.06976218,2.215637,-0.1686789,,13.18053383,18.64781706,13.07636396,7.214740251,154.1956067,0.85160425,164.2997868,0.678142714,
1.195736,1.191976,1.188845,0.78501,2.263876,-0.101745,2.291441,-0.1984838,,15.69408498,15.55879648,15.44703036,6.095509325,183.6014049,0.791143019,195.6324978,0.633163979,
1.268094,1.117427,1.264649,0.7150691,2.339679,-0.1324834,2.367244,-0.2264219,,18.53932851,13.10469749,18.39284877,5.188825911,218.6145182,0.737083348,232.9399618,0.593715108,
1.340452,1.044932,1.340452,0.6482395,2.415483,-0.1608363,2.443048,-0.2512488,,21.90039763,11.09001159,21.90039763,4.448765355,260.3052936,0.690500027,277.362664,0.560726653,
1.416255,0.9715689,1.416255,0.5848324,2.491286,-0.1871151,2.518851,-0.2742088,,26.07684226,9.36631803,26.07684226,3.844433916,309.9459743,0.649957411,330.2562156,0.531852494,
1.488613,0.9002872,1.492059,0.5236031,2.56709,-0.2122531,2.594654,-0.2956132,,30.80441744,7.948536996,31.04981379,3.3388976,369.0540707,0.613404419,393.2366612,0.50627537,
1.560971,0.8304368,1.567862,0.464863,2.642893,-0.2352131,2.670458,-0.3176398,,36.38907365,6.767633009,36.97106831,2.916506845,439.433336,0.581817661,468.2286675,0.481238318,
1.636775,0.7576957,1.643666,0.4095452,2.718696,-0.2566175,2.746261,-0.3359329,,43.32863425,5.723948268,44.02161791,2.567705433,523.2340519,0.553837681,557.5207041,0.461388855,
1.712578,0.685888,1.719469,0.3557832,2.7945,-0.2745994,2.822065,-0.3508035,,51.59148159,4.851633655,52.41661846,2.268732017,623.0171474,0.531374366,663.842419,0.445857935,
1.788381,0.6168805,1.795273,0.3048213,2.870303,-0.2897812,2.897868,-0.3628739,,61.43006856,4.138857748,62.4127042,2.017536033,741.8276215,0.513119832,790.4383447,0.433636769,
1.864185,0.5484952,1.871076,0.2547928,2.946107,-0.3018516,2.973672,-0.3675083,,73.14505992,3.535861131,74.3149175,1.798012886,883.2974975,0.499054987,941.1785049,0.42903399,
1.939988,0.4835324,1.94688,0.2078756,3.02191,-0.3123664,3.049475,-0.3761252,,87.09395247,3.044615121,88.48710771,1.613896204,1051.743896,0.487117352,1120.662914,0.420605357,
2.015792,0.4198142,2.022683,0.1628253,3.097714,-0.3203921,3.125279,-0.3835286,,103.7031623,2.629142951,105.361756,1.454873723,1252.316204,0.478198159,1334.37839,0.413496083,
2.091595,0.361074,2.098486,0.1196417,3.173517,-0.3290401,3.201082,-0.390621,,123.4795392,2.296539925,125.4544295,1.317169604,1491.135123,0.468770097,1588.846714,0.406798179,
2.167399,0.3063785,2.17429,0.07925827,3.249321,-0.3367547,3.276885,-0.3986467,,147.0276447,2.024783066,149.3791555,1.200212844,1775.501322,0.460516611,1891.842598,0.399349643,
2.243202,0.2544833,2.250093,0.03949713,3.325124,-0.3441581,3.352689,-0.4038722,,175.066077,1.796731989,177.8660252,1.095209318,2114.092571,0.452732738,2252.62552,0.394573396,
2.319006,0.2032102,2.325897,0.00253617,3.400927,-0.3515616,3.428492,-0.4122091,,208.4519682,1.596651745,211.7858791,1.005856832,2517.25377,0.445080329,2682.205199,0.387071237,
2.394809,0.153804,2.4017,-0.03193574,3.476731,-0.3605207,3.504296,-0.4196125,,248.2041279,1.424964353,252.1738216,0.929103851,2997.305427,0.435992783,3193.713838,0.380528772,
2.470612,0.1059535,2.477504,-0.06454085,3.552534,-0.3694798,3.580099,-0.4285716,,295.5370949,1.276302148,300.2645076,0.861904504,3568.896883,0.427090784,3802.760726,0.372759225,
2.546416,0.06650345,2.553307,-0.09465691,3.628338,-0.3784389,3.655903,-0.4375308,,351.897353,1.165476309,357.5254813,0.804161154,4249.501628,0.418370544,4527.964362,0.36514823,
2.622219,0.03389834,2.629111,-0.1213505,3.704141,-0.3877092,3.731706,-0.4502235,,419.0048018,1.081180838,425.7072044,0.756222335,5059.88912,0.409534789,5391.45519,0.354630839,
2.698023,0.005337933,2.704914,-0.1455551,3.779945,-0.3982239,3.80751,-0.4610494,,498.9109088,1.01236689,506.8903227,0.715228646,6024.832814,0.399738612,6419.630031,0.34590003,
2.773826,-0.01793323,2.777272,-0.1650645,3.855748,-0.4121612,3.883313,-0.4703196,,594.0541033,0.959548145,598.7864995,0.683810082,7173.779109,0.387113931,7643.864854,0.33859489,
2.84963,-0.03790641,3.070149,-0.2289426,3.931552,-0.4273429,3.959116,-0.4805233,,707.3429022,0.916417956,1175.300714,0.590279091,8541.851167,0.373815323,9101.563428,0.330732368,
2.925433,-0.05825294,3.145952,-0.2431909,4.007355,-0.4428358,4.069376,-0.5006541,,842.2344472,0.874474319,1399.432643,0.571227491,10170.79732,0.360714998,11732.10659,0.315751847,
3.001237,-0.07623487,3.221756,-0.2583727,4.083158,-0.4577064,4.145179,-0.5167693,,1002.852358,0.839006122,1666.310765,0.551603864,12110.38639,0.348572884,13969.44011,0.304250079,
3.07704,-0.09297228,3.297559,-0.2716876,4.158962,-0.4744438,4.220983,-0.5328844,,1194.09808,0.807286556,1984.079181,0.534949025,14419.89174,0.335394703,16633.47539,0.293167349,
3.152843,-0.1090874,3.373363,-0.2834469,4.234765,-0.4933591,4.296786,-0.549933,,1421.8147,0.77787999,2362.452036,0.520658664,17169.79066,0.32110044,19805.50863,0.281881777,
3.228647,-0.1252026,3.449166,-0.2961396,4.310569,-0.5119633,4.37259,-0.5688483,,1692.961181,0.749544462,2812.975826,0.505662095,20444.14723,0.307635677,23582.50852,0.269868192,
3.30445,-0.1400732,3.524969,-0.3078989,4.386372,-0.5336788,4.448393,-0.5899415,,2015.811878,0.724313867,3349.415301,0.492154092,24342.88234,0.292631585,28079.73469,0.257074204,
3.380254,-0.1552549,3.600773,-0.316858,4.462176,-0.5535276,4.524197,-0.6125904,,2400.236303,0.699431359,3988.163918,0.482105404,28985.17989,0.279558306,33434.66684,0.24401111,
3.456057,-0.1701255,3.676576,-0.3283062,4.537979,-0.5764876,4.6,-0.6339948,,2857.965619,0.675887633,4748.713845,0.469562926,34512.70506,0.26516268,39810.71706,0.232276461,
3.531861,-0.1865518,3.75238,-0.3378876,4.613783,-0.6000699,4.675804,-0.6550881,,3402.992563,0.650800983,5654.31501,0.459316874,41094.4337,0.251148217,47402.8005,0.221264581,
3.607664,-0.2029781,3.828183,-0.3487135,4.689586,-0.6242745,4.751607,-0.6808483,,4051.949276,0.626645463,6732.602903,0.448008754,48931.21503,0.237533846,56442.59856,0.208521913,
3.683468,-0.2181598,3.903987,-0.3601617,4.765389,-0.6475456,4.82741,-0.7087864,,4824.674292,0.605118179,8016.540666,0.436353335,58262.48445,0.225140901,67206.30213,0.19553009,
3.759271,-0.2348972,3.97979,-0.3731655,4.841193,-0.6742392,4.903214,-0.732991,,5744.74823,0.582241021,9545.309178,0.423481556,69373.40322,0.211719471,80022.8473,0.184930694,
3.835074,-0.2516346,4.055594,-0.3874138,4.916996,-0.6984438,4.979017,-0.758129,,6840.281898,0.56022876,11365.64272,0.409813443,82603.03415,0.200242473,95283.3461,0.174530366,
3.910878,-0.2702388,4.131397,-0.4032178,4.9928,-0.7223372,5.054821,-0.783578,,8144.754532,0.536736587,13533.09093,0.395168392,98355.80562,0.189523383,113454.3103,0.164597032,
3.986681,-0.2866651,4.2072,-0.4202664,5.068603,-0.7465418,5.130624,-0.8080937,,9697.973655,0.51681475,16113.87536,0.379956256,117112.4321,0.179249602,135090.2483,0.155562996,
4.062485,-0.3055804,4.283004,-0.4388706,5.144407,-0.7663905,5.206428,-0.8279425,,11547.42101,0.494788503,19186.86412,0.364023482,139446.3015,0.171241688,160852.5685,0.148613239,
4.138288,-0.3244958,4.358807,-0.4593416,5.22021,-0.7849947,5.282231,-0.8468578,,13749.53466,0.473700889,22845.83311,0.34726291,166038.9583,0.164060979,191527.4383,0.142279457,
4.214092,-0.3446556,4.434611,-0.4804348,5.296014,-0.7995542,5.358035,-0.8589282,,16371.63298,0.452214413,27202.63661,0.330799771,197703.3371,0.158652091,228052.5853,0.138379514,
4.289895,-0.3651266,4.510414,-0.5043282,5.371817,-0.8057131,5.433838,-0.8517085,,19493.7324,0.431393304,32390.22762,0.313091877,235405.7139,0.156418062,271542.6175,0.140699159,
4.365699,-0.3852865,4.586218,-0.5285328,5.44762,-0.804716,5.509641,-0.830799,,23211.27516,0.411825752,38567.19023,0.296119631,280298.0007,0.156777596,323326.2759,0.147638968,
4.441502,-0.407002,4.662021,-0.5549153,5.523424,-0.7884735,5.585445,-0.8070893,,27637.70647,0.391740073,45922.02176,0.27866646,333752.0946,0.162752062,384986.0561,0.155923186,
4.517305,-0.4293397,4.737825,-0.5816089,5.599227,-0.7638304,5.661248,-0.7802683,,32908.26607,0.37210054,54679.55859,0.262054185,397399.2105,0.172254113,458403.5793,0.165856196,
4.593109,-0.4513664,4.813628,-0.6101693,5.675031,-0.7410541,5.737052,-0.7721151,,39184.02095,0.353698811,65107.04731,0.245375219,473185.0338,0.181528952,545823.211,0.168999298,
4.668912,-0.4746375,4.889431,-0.6377963,5.750834,-0.7346122,5.812855,-0.7720514,,46656.48319,0.335245147,77523.07662,0.230252153,563422.2583,0.184241644,649912.6646,0.169024087,
4.744716,-0.4982198,4.965235,-0.6660456,5.826638,-0.7350152,5.888659,-0.7741657,,55554.08513,0.317526664,92307.07726,0.215751786,670869.4261,0.184070758,773853.9434,0.168203218,
4.820519,-0.5211799,5.041038,-0.6924281,5.902441,-0.7346404,5.964462,-0.7737908,,66148.34762,0.301175819,109910.2005,0.203035463,798805.4146,0.184229681,921429.2618,0.16834848,
4.896323,-0.5460067,5.116842,-0.717566,5.978245,-0.737688,6.040266,-0.7718603,,78763.13609,0.284441723,130870.5718,0.191616984,951141.2128,0.182941401,1097149.981,0.169098479,
4.972126,-0.5705224,5.192645,-0.7402149,6.054048,-0.7376243,6.116069,-0.7717966,,93783.40572,0.268829918,155827.8218,0.181880065,1132525.528,0.182968236,1306378.427,0.169123283,
5.04793,-0.5950381,5.268449,-0.7569523,6.129852,-0.7375606,6.191873,-0.7717329,,111668.3245,0.25407498,185544.8908,0.175003889,1348503.258,0.182995074,1555510.69,0.169148091,
5.123733,-0.6192427,5.344252,-0.7652892,6.205655,-0.7374969,6.267676,-0.7716692,,132963.6719,0.240301953,220928.6303,0.17167648,1605665.219,0.183021917,1852149.335,0.169172902,
5.199536,-0.6443806,5.420056,-0.7646032,6.281458,-0.7374332,6.343479,-0.7716055,,158320.0798,0.22678765,263060.7173,0.17194787,1911868.422,0.183048764,2205357.495,0.169197717,
5.27534,-0.6648516,5.495859,-0.7580058,6.357262,-0.7342582,6.419283,-0.7715418,,188512.4336,0.216345766,313226.8623,0.174579884,2276470.359,0.184391883,2625929.124,0.169222536,
5.351143,-0.6731885,5.571662,-0.7352295,6.433065,-0.7363724,6.481304,-0.7719786,,224462.0888,0.212232309,372959.78,0.183979951,2710597.291,0.183496422,3029032.966,0.169052423,
5.426947,-0.6731248,5.647466,-0.7115198,6.488195,-0.735206,,,,267268.0223,0.212263441,444084.8935,0.19430331,3077478.305,0.183989907,,,
5.50275,-0.6718165,5.723269,-0.7039889,,,,,,318236.5078,0.212903843,528772.6697,0.197702017,,,,,
5.578554,-0.6667747,5.799073,-0.7036141,,,,,,378925.6463,0.215389883,629612.0046,0.197872709,,,,,
5.654357,-0.6660888,5.874876,-0.7035504,,,,,,451187.4385,0.215730326,749680.1297,0.197901734,,,,,
5.730161,-0.6660251,5.95068,-0.7028644,,,,,,537230.9197,0.215761971,892647.5144,0.198214582,,,,,
5.805964,-0.6659614,6.026483,-0.7009339,,,,,,639681.8081,0.21579362,1062876.977,0.199097634,,,,,
5.881767,-0.6658977,6.102287,-0.7049149,,,,,,761670.2625,0.215825274,1265572.414,0.197280927,,,,,
5.957571,-0.665834,6.17809,-0.7057846,,,,,,906924.2196,0.215856932,1506919.317,0.196886256,,,,,
6.033374,-0.6657703,6.253894,-0.7032319,,,,,,1079876.276,0.215888595,1794295.632,0.198046923,,,,,
6.109178,-0.6672622,6.329697,-0.7031682,,,,,,1285813.556,0.215148241,2136470.989,0.198075974,,,,,
6.184981,-0.6687542,6.4055,-0.7031045,,,,,,1531020.479,0.214410377,2543899.793,0.198105029,,,,,
6.260785,-0.6690016,6.474413,-0.7030466,,,,,,1822992.996,0.214288271,2981350.249,0.198131442,,,,,
6.336588,-0.6689379,,,,,,,,2170640.991,0.214319704,,,,,,,
6.412392,-0.6716744,,,,,,,,2584592.025,0.212973516,,,,,,,
6.477858,-0.6722416,,,,,,,,3005093.575,0.212695548,,,,,,,
